Company,Location_HQ,USState,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,Year,latitude,longitude,Month_Name,Quarter
Tamara Mellon,Los Angeles,California,USA,North America,20.0,2020-03-12,40.0,50.0,30.0,Retail,Series C,90.0,2020,34.0536909,-118.242766,March,2020Q1
HopSkipDrive,Los Angeles,California,USA,North America,8.0,2020-03-13,10.0,80.0,72.0,Transportation,Unknown,45.0,2020,34.0536909,-118.242766,March,2020Q1
Panda Squad,San Francisco,California,USA,North America,6.0,2020-03-13,75.0,8.0,2.0,Consumer,Seed,1.0,2020,37.7792588,-122.4193286,March,2020Q1
Help.com,Austin,Texas,USA,North America,16.0,2020-03-16,100.0,16.0,,Support,Seed,6.0,2020,30.2711286,-97.7436995,March,2020Q1
Inspirato,Denver,Colorado,USA,North America,130.0,2020-03-16,22.0,591.0,461.0,Travel,Series C,79.0,2020,39.7392364,-104.984862,March,2020Q1
Flytedesk,Boulder,Colorado,USA,North America,4.0,2020-03-18,20.0,20.0,16.0,Marketing,Seed,4.0,2020,40.0149856,-105.270545,March,2020Q1
Remote Year,Chicago,Illinois,USA,North America,50.0,2020-03-19,50.0,100.0,50.0,Travel,Series B,17.0,2020,41.8755616,-87.6244212,March,2020Q1
CTO.ai,Vancouver,Non-US,Canada,North America,30.0,2020-03-20,50.0,60.0,30.0,Infrastructure,Seed,7.0,2020,49.2608724,-123.113952,March,2020Q1
Flywheel Sports,New York City,New York,USA,North America,784.0,2020-03-20,98.0,800.0,16.0,Fitness,Acquired,120.0,2020,40.7127281,-74.0060152,March,2020Q1
Compass,New York City,New York,USA,North America,375.0,2020-03-23,15.0,2500.0,2125.0,Real Estate,Series G,1600.0,2020,40.7127281,-74.0060152,March,2020Q1
Convene,New York City,New York,USA,North America,150.0,2020-03-23,18.0,833.0,683.0,Real Estate,Series D,280.0,2020,40.7127281,-74.0060152,March,2020Q1
GrayMeta,Los Angeles,California,USA,North America,20.0,2020-03-23,40.0,50.0,30.0,Data,Unknown,7.0,2020,34.0536909,-118.242766,March,2020Q1
Ladder Life,Palo Alto,California,USA,North America,13.0,2020-03-23,25.0,52.0,39.0,Finance,Series C,94.0,2020,37.4443293,-122.1598465,March,2020Q1
Leafly,Seattle,Washington,USA,North America,91.0,2020-03-23,50.0,182.0,91.0,Retail,Acquired,2.0,2020,47.6038321,-122.330062,March,2020Q1
The Guild,Austin,Texas,USA,North America,38.0,2020-03-23,22.0,173.0,135.0,Travel,Series B,36.0,2020,30.2711286,-97.7436995,March,2020Q1
Triplebyte,San Francisco,California,USA,North America,15.0,2020-03-23,17.0,88.0,73.0,HR,Series B,48.0,2020,37.7792588,-122.4193286,March,2020Q1
Foodsby,Minneapolis,Minnesota,USA,North America,87.0,2020-03-24,67.0,130.0,43.0,Food,Series B,20.0,2020,44.9772995,-93.2654692,March,2020Q1
Sonder,San Francisco,California,USA,North America,400.0,2020-03-24,33.0,1212.0,812.0,Travel,Series D,359.0,2020,37.7792588,-122.4193286,March,2020Q1
Zeus Living,San Francisco,California,USA,North America,80.0,2020-03-24,30.0,267.0,187.0,Real Estate,Series B,79.0,2020,37.7792588,-122.4193286,March,2020Q1
Jama,Portland,Oregon,USA,North America,12.0,2020-03-25,5.0,240.0,228.0,Product,Unknown,233.0,2020,45.5202471,-122.674194,March,2020Q1
OutboundEngine,Austin,Texas,USA,North America,52.0,2020-03-25,28.0,186.0,134.0,Marketing,Series C,48.0,2020,30.2711286,-97.7436995,March,2020Q1
Overtime,New York City,New York,USA,North America,30.0,2020-03-25,23.0,130.0,100.0,Media,Series B,35.0,2020,40.7127281,-74.0060152,March,2020Q1
TripActions,Palo Alto,California,USA,North America,300.0,2020-03-25,25.0,1200.0,900.0,Travel,Series D,0.0,2020,37.4443293,-122.1598465,March,2020Q1
WanderJaunt,San Francisco,California,USA,North America,56.0,2020-03-25,23.0,243.0,187.0,Travel,Series B,26.0,2020,37.7792588,-122.4193286,March,2020Q1
Wonderschool,San Francisco,California,USA,North America,50.0,2020-03-25,75.0,67.0,17.0,Education,Series A,24.0,2020,37.7792588,-122.4193286,March,2020Q1
B8ta,San Francisco,California,USA,North America,250.0,2020-03-26,50.0,500.0,250.0,Retail,Series C,88.0,2020,37.7792588,-122.4193286,March,2020Q1
Consider.co,Mountain View,California,USA,North America,13.0,2020-03-26,100.0,13.0,,Other,Seed,5.0,2020,37.3893889,-122.0832101,March,2020Q1
Ecobee,Toronto,Non-US,Canada,North America,47.0,2020-03-26,10.0,470.0,423.0,Energy,Series C,149.0,2020,43.6534817,-79.3839347,March,2020Q1
GoSpotCheck,Denver,Colorado,USA,North America,23.0,2020-03-26,20.0,115.0,92.0,Retail,Series B,47.0,2020,39.7392364,-104.984862,March,2020Q1
Peerspace,San Francisco,California,USA,North America,41.0,2020-03-26,75.0,55.0,14.0,Real Estate,Series B,34.0,2020,37.7792588,-122.4193286,March,2020Q1
Puppet,Portland,Oregon,USA,North America,50.0,2020-03-26,10.0,500.0,450.0,Infrastructure,Series F,149.0,2020,45.5202471,-122.674194,March,2020Q1
Bench,Vancouver,Non-US,Canada,North America,47.0,2020-03-27,10.0,470.0,423.0,Finance,Series B,49.0,2020,49.2608724,-123.113952,March,2020Q1
Bevi,Boston,Massachusetts,USA,North America,30.0,2020-03-27,20.0,150.0,120.0,Food,Series C,60.0,2020,42.3554334,-71.060511,March,2020Q1
Bird,Los Angeles,California,USA,North America,406.0,2020-03-27,30.0,1353.0,947.0,Transportation,Series D,623.0,2020,34.0536909,-118.242766,March,2020Q1
Blueground,New York City,New York,USA,North America,130.0,2020-03-27,25.0,520.0,390.0,Real Estate,Series B,77.0,2020,40.7127281,-74.0060152,March,2020Q1
DataRobot,Boston,Massachusetts,USA,North America,200.0,2020-03-27,16.7,1200.0,1000.0,Data,Series E,430.0,2020,42.3554334,-71.060511,March,2020Q1
Getaround,San Francisco,California,USA,North America,100.0,2020-03-27,25.0,400.0,300.0,Transportation,Series D,403.0,2020,37.7792588,-122.4193286,March,2020Q1
HOOQ,Singapore,Non-US,Singapore,Asia,250.0,2020-03-27,100.0,250.0,,Consumer,Unknown,95.0,2020,1.2899175,103.8519072,March,2020Q1
Knotel,New York City,New York,USA,North America,127.0,2020-03-27,30.0,423.0,296.0,Real Estate,Series C,560.0,2020,40.7127281,-74.0060152,March,2020Q1
Mogo,Vancouver,Non-US,Canada,North America,78.0,2020-03-27,30.0,260.0,182.0,Finance,Post-IPO,201.0,2020,49.2608724,-123.113952,March,2020Q1
OneWeb,London,Non-US,UK,Europe,451.0,2020-03-27,85.0,531.0,80.0,Aerospace,Unknown,0.0,2020,51.4893335,-0.144055085,March,2020Q1
Textio,Seattle,Washington,USA,North America,30.0,2020-03-27,20.0,150.0,120.0,HR,Unknown,41.0,2020,47.6038321,-122.330062,March,2020Q1
Zipcar,Boston,Massachusetts,USA,North America,100.0,2020-03-27,20.0,500.0,400.0,Transportation,Acquired,107.0,2020,42.3554334,-71.060511,March,2020Q1
TravelTriangle,Gurugram,Non-US,India,Asia,250.0,2020-03-28,50.0,500.0,250.0,Travel,Series D,47.0,2020,28.4646148,77.0299194,March,2020Q1
Amplero,Seattle,Washington,USA,North America,17.0,2020-03-29,100.0,17.0,,Marketing,Series B,25.0,2020,47.6038321,-122.330062,March,2020Q1
ZipRecruiter,Los Angeles,California,USA,North America,400.0,2020-03-29,39.0,1026.0,626.0,HR,Series B,219.0,2020,34.0536909,-118.242766,March,2020Q1
FabHotels,New Delhi,Non-US,India,Asia,80.0,2020-03-30,20.0,400.0,320.0,Travel,Series B,48.0,2020,28.6138954,77.2090057,March,2020Q1
Hibob,Tel Aviv,Non-US,Israel,Asia,70.0,2020-03-30,30.0,233.0,163.0,HR,Series A,45.0,2020,32.0852997,34.7818064,March,2020Q1
Iris Nova,New York City,New York,USA,North America,9.0,2020-03-30,50.0,18.0,9.0,Food,Seed,15.0,2020,40.7127281,-74.0060152,March,2020Q1
Loftsmart,New York City,New York,USA,North America,25.0,2020-03-30,75.0,33.0,8.0,Real Estate,Series A,18.0,2020,40.7127281,-74.0060152,March,2020Q1
Maven,Seattle,Washington,USA,North America,31.0,2020-03-30,9.0,344.0,313.0,Media,Post-IPO,77.0,2020,47.6038321,-122.330062,March,2020Q1
PeerStreet,Los Angeles,California,USA,North America,51.0,2020-03-30,30.0,170.0,119.0,Finance,Series C,110.0,2020,34.0536909,-118.242766,March,2020Q1
RigUp,Austin,Texas,USA,North America,120.0,2020-03-30,25.0,480.0,360.0,Energy,Series D,423.0,2020,30.2711286,-97.7436995,March,2020Q1
Thumbtack,San Francisco,California,USA,North America,250.0,2020-03-30,30.0,833.0,583.0,Consumer,Series F,423.0,2020,37.7792588,-122.4193286,March,2020Q1
AdRoll,Salt Lake City,Utah,USA,North America,210.0,2020-03-31,30.0,700.0,490.0,Marketing,Series C,89.0,2020,40.7596198,-111.886797,March,2020Q1
DialSource,Sacramento,California,USA,North America,5.0,2020-03-31,14.0,36.0,31.0,Marketing,Series B,26.0,2020,38.5810606,-121.493895,March,2020Q1
KeepTruckin,San Francisco,California,USA,North America,349.0,2020-03-31,18.0,1939.0,1590.0,Logistics,Series D,227.0,2020,37.7792588,-122.4193286,March,2020Q1
Rover,Seattle,Washington,USA,North America,194.0,2020-03-31,41.0,473.0,279.0,Consumer,Series G,310.0,2020,47.6038321,-122.330062,March,2020Q1
Turo,San Francisco,California,USA,North America,108.0,2020-03-31,30.0,360.0,252.0,Transportation,Series E,467.0,2020,37.7792588,-122.4193286,March,2020Q1
uShip,Austin,Texas,USA,North America,65.0,2020-03-31,37.0,176.0,111.0,Logistics,Series D,69.0,2020,30.2711286,-97.7436995,March,2020Q1
Zenoti,Seattle,Washington,USA,North America,17.0,2020-03-31,4.0,425.0,408.0,Fitness,Series C,91.0,2020,47.6038321,-122.330062,March,2020Q1
Acko,Mumbai,Non-US,India,Asia,45.0,2020-04-01,9.0,500.0,455.0,Finance,Unknown,143.0,2024,19.0785451,72.878176,April,2020Q2
Aqua Security,Tel Aviv,Non-US,Israel,Asia,24.0,2020-04-01,9.0,267.0,243.0,Security,Series C,100.0,2020,32.0852997,34.7818064,April,2020Q2
Crayon,Boston,Massachusetts,USA,North America,20.0,2020-04-01,20.0,100.0,80.0,Marketing,Series A,16.0,2020,42.3554334,-71.060511,April,2020Q2
Earnin,Palo Alto,California,USA,North America,50.0,2020-04-01,20.0,250.0,200.0,Finance,Series C,190.0,2020,37.4443293,-122.1598465,April,2020Q2
Highsnobiety,Berlin,Non-US,Germany,Europe,51.0,2020-04-01,25.0,204.0,153.0,Media,Series A,9.0,2020,52.5170365,13.3888599,April,2020Q2
Incredible Health,San Francisco,California,USA,North America,9.0,2020-04-01,40.0,23.0,14.0,Healthcare,Series A,15.0,2020,37.7792588,-122.4193286,April,2020Q2
PatientPop,Los Angeles,California,USA,North America,100.0,2020-04-01,20.0,500.0,400.0,Healthcare,Series B,75.0,2020,34.0536909,-118.242766,April,2020Q2
Sensibill,Toronto,Non-US,Canada,North America,17.0,2020-04-01,20.0,85.0,68.0,Finance,Series B,50.0,2020,43.6534817,-79.3839347,April,2020Q2
Showpad,Chicago,Illinois,USA,North America,52.0,2020-04-01,12.0,433.0,381.0,Marketing,Series D,159.0,2020,41.8755616,-87.6244212,April,2020Q2
Usermind,Seattle,Washington,USA,North America,15.0,2020-04-01,25.0,60.0,45.0,Marketing,Series C,46.0,2020,47.6038321,-122.330062,April,2020Q2
Wonolo,San Francisco,California,USA,North America,46.0,2020-04-01,13.0,354.0,308.0,HR,Series C,52.0,2020,37.7792588,-122.4193286,April,2020Q2
1stdibs,New York City,New York,USA,North America,70.0,2020-04-02,17.0,412.0,342.0,Retail,Series D,253.0,2020,40.7127281,-74.0060152,April,2020Q2
ClassPass,New York City,New York,USA,North America,154.0,2020-04-02,22.0,700.0,546.0,Fitness,Series E,549.0,2020,40.7127281,-74.0060152,April,2020Q2
Coding Dojo,Seattle,Washington,USA,North America,7.0,2020-04-02,7.0,100.0,93.0,Education,Unknown,2.0,2020,47.6038321,-122.330062,April,2020Q2
Dynamic Signal,San Bruno,California,USA,North America,35.0,2020-04-02,19.0,184.0,149.0,HR,Series E,114.0,2020,37.6248536,-122.4145986,April,2020Q2
eGym,Munich,Non-US,Germany,Europe,100.0,2020-04-02,25.0,400.0,300.0,Fitness,Series D,109.0,2020,48.1371079,11.5753822,April,2020Q2
Industrious,New York City,New York,USA,North America,90.0,2020-04-02,20.0,450.0,360.0,Real Estate,Series D,222.0,2020,40.7127281,-74.0060152,April,2020Q2
Instamojo,Bengaluru,Non-US,India,Asia,6.0,2020-04-02,6.0,100.0,94.0,Finance,Unknown,8.0,2020,12.98815675,77.62260004,April,2020Q2
Jobcase,Boston,Massachusetts,USA,North America,39.0,2020-04-02,20.0,195.0,156.0,HR,Private Equity,118.0,2020,42.3554334,-71.060511,April,2020Q2
Katerra,Menlo Park,California,USA,North America,240.0,2020-04-02,3.0,8000.0,7760.0,Construction,Series D,1200.0,2020,37.4519671,-122.177992,April,2020Q2
MindBody,San Luis Obispo,California,USA,North America,700.0,2020-04-02,35.0,2000.0,1300.0,Fitness,Post-IPO,114.0,2020,35.3540209,-120.375716,April,2020Q2
Ritual,Toronto,Non-US,Canada,North America,196.0,2020-04-02,54.0,363.0,167.0,Food,Series C,112.0,2020,43.6534817,-79.3839347,April,2020Q2
Sauce Labs,San Francisco,California,USA,North America,30.0,2020-04-02,15.0,200.0,170.0,Infrastructure,Unknown,151.0,2020,37.7792588,-122.4193286,April,2020Q2
Synergysuite,Salt Lake City,Utah,USA,North America,5.0,2020-04-02,7.0,71.0,66.0,Food,Series A,6.0,2020,40.7596198,-111.886797,April,2020Q2
The Predictive Investment,Boston,Massachusetts,USA,North America,59.0,2020-04-02,25.0,236.0,177.0,HR,Acquired,65.0,2020,42.3554334,-71.060511,April,2020Q2
ThirdLove,San Francisco,California,USA,North America,65.0,2020-04-02,30.0,217.0,152.0,Retail,Series B,68.0,2020,37.7792588,-122.4193286,April,2020Q2
TripleLift,New York City,New York,USA,North America,23.0,2020-04-02,7.0,329.0,306.0,Marketing,Series B,16.0,2020,40.7127281,-74.0060152,April,2020Q2
Arrive Logistics,Austin,Texas,USA,North America,75.0,2020-04-03,7.0,1071.0,996.0,Logistics,Series B,35.0,2020,30.2711286,-97.7436995,April,2020Q2
Bustle Digital Group,New York City,New York,USA,North America,24.0,2020-04-03,8.0,300.0,276.0,Media,Series E,80.0,2020,40.7127281,-74.0060152,April,2020Q2
D2iQ,San Francisco,California,USA,North America,34.0,2020-04-03,13.0,262.0,228.0,Infrastructure,Series D,247.0,2020,37.7792588,-122.4193286,April,2020Q2
Gympass,Sao Paulo,Non-US,Brazil,South America,467.0,2020-04-03,33.0,1415.0,948.0,Fitness,Series D,300.0,2020,-23.5506507,-46.6333824,April,2020Q2
Jetty,New York City,New York,USA,North America,35.0,2020-04-03,40.0,88.0,53.0,Finance,Series B,40.0,2020,40.7127281,-74.0060152,April,2020Q2
Minted,San Francisco,California,USA,North America,147.0,2020-04-03,37.0,397.0,250.0,Retail,Series E,297.0,2020,37.7792588,-122.4193286,April,2020Q2
Opencare,Toronto,Non-US,Canada,North America,18.0,2020-04-03,25.0,72.0,54.0,Healthcare,Series A,24.0,2020,43.6534817,-79.3839347,April,2020Q2
Salsify,Boston,Massachusetts,USA,North America,60.0,2020-04-03,13.0,462.0,402.0,Retail,Series D,97.0,2020,42.3554334,-71.060511,April,2020Q2
Sojern,San Francisco,California,USA,North America,300.0,2020-04-03,50.0,600.0,300.0,Marketing,Series D,162.0,2020,37.7792588,-122.4193286,April,2020Q2
Iflix,Kuala Lumpur,Non-US,Malaysia,Asia,50.0,2020-04-04,12.0,417.0,367.0,Consumer,Unknown,348.0,2020,3.1516964,101.6942371,April,2020Q2
Astra,Alameda,California,USA,North America,40.0,2020-04-05,25.0,160.0,120.0,Aerospace,Unknown,100.0,2020,37.6090291,-121.899142,April,2020Q2
Borrowell,Toronto,Non-US,Canada,North America,15.0,2020-04-06,20.0,75.0,60.0,Finance,Series B,72.0,2020,43.6534817,-79.3839347,April,2020Q2
BounceX,New York City,New York,USA,North America,77.0,2020-04-06,20.0,385.0,308.0,Marketing,Series B,75.0,2020,40.7127281,-74.0060152,April,2020Q2
BusBud,Montreal,Non-US,Canada,North America,23.0,2020-04-06,32.0,72.0,49.0,Transportation,Series B,21.0,2020,45.5031824,-73.5698065,April,2020Q2
Cogito,Boston,Massachusetts,USA,North America,24.0,2020-04-06,14.0,171.0,147.0,Support,Series C,92.0,2020,42.3554334,-71.060511,April,2020Q2
Metromile,San Francisco,California,USA,North America,100.0,2020-04-06,33.0,303.0,203.0,Finance,Series E,293.0,2020,37.7792588,-122.4193286,April,2020Q2
PerkSpot,Chicago,Illinois,USA,North America,10.0,2020-04-06,10.0,100.0,90.0,HR,Private Equity,50.0,2020,41.8755616,-87.6244212,April,2020Q2
Rock Content,Belo Horizonte,Non-US,Brazil,South America,100.0,2020-04-06,20.0,500.0,400.0,Marketing,Series A,1.0,2020,-19.9227318,-43.9450948,April,2020Q2
Wordstream,Boston,Massachusetts,USA,North America,26.0,2020-04-06,10.0,260.0,234.0,Marketing,Acquired,28.0,2020,42.3554334,-71.060511,April,2020Q2
Away,New York City,New York,USA,North America,60.0,2020-04-07,10.0,600.0,540.0,Retail,Series D,181.0,2020,40.7127281,-74.0060152,April,2020Q2
Branch,Palo Alto,California,USA,North America,100.0,2020-04-07,20.0,500.0,400.0,Marketing,Series E,367.0,2020,37.4443293,-122.1598465,April,2020Q2
ezCater,Boston,Massachusetts,USA,North America,400.0,2020-04-07,44.0,909.0,509.0,Food,Series D,319.0,2020,42.3554334,-71.060511,April,2020Q2
Group Nine Media,New York City,New York,USA,North America,50.0,2020-04-07,7.0,714.0,664.0,Media,Unknown,190.0,2020,40.7127281,-74.0060152,April,2020Q2
Ibotta,Denver,Colorado,USA,North America,87.0,2020-04-07,15.0,580.0,493.0,Retail,Series D,85.0,2020,39.7392364,-104.984862,April,2020Q2
